Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
BACH2_HUMAN	Excluded	false							0, -0.003066, -0.189648, -0.223771, -0.302405, -0.131904, -0.192556, 0.080945									
BACH_HUMAN	Excluded	false							0, -0.418465, -0.681227, -0.431677, -0.753352, -0.252002, -0.330486, -0.470197									
BAD_HUMAN	Excluded	true							0, -0.385352, 0.001335, -0.201832, -0.170486, 0.106725, -0.281471, -0.02458									
BAG6_HUMAN	Excluded	false							0, -0.024543, 0.024305, -0.031915, -0.214208, -0.041252, 0.278171, -0.36598									
BAP18_HUMAN	Excluded	false	0, -0.318263, -0.03428, -0.181158, 0.030893, 0.005837, 0.082446, -0.004891						0, -0.092637, -0.319932, -0.109789, -0.31967, -0.183456, -0.115231, 0.124071									
BARD1_HUMAN	Excluded	false							0, -0.26949, 0.019664, -0.132863, -0.306265, -0.068952, -0.025194, -0.286526									
BAZ1B_HUMAN	Excluded	false							0, 0.222568, 0.218773, 0.159417, -0.014848, 0.165713, 0.326168, 0.148251	0, -0.574727, -0.37902, -0.674055, -0.3804, -0.27605, -0.09558, -0.342015								
BAZ2A_HUMAN	InsigPrize	false							0, -0.38285, -0.466635, -0.435705, -0.392467, -0.225003, -0.12283, -0.28403									
BBX_HUMAN	Excluded	false							0, 0.092084, -0.135758, 0.905938, 0.806183, 0.861653, 0.852345, 0.929736	0, -0.232751, 0.241503, 0.780392, 0.877056, 0.970582, 0.948263, 1.200515								
BCAR1_HUMAN	SigPrize	true	0, -0.498401, 0.538497, -0.166513, -0.442357, -0.102871, 0.124011, -0.280652	0, -0.715527, -0.611619, -0.762172, -0.722814, -0.53241, -0.117723, -0.291839														
BCLF1_HUMAN	SigPrize	false	0, -0.268716, -0.213621, -0.123109, -0.21374, -0.169376, 0.149033, 0.07135	0, -0.580252, -0.835807, -0.370352, -0.548272, -0.243258, -0.210208, -0.277462					0, -0.736694, 0.161934, -1.078517, -0.294154, -0.305833, -0.190701, -0.422875	0, -0.298316, -0.82629, -0.213698, -0.483199, -0.348451, -0.420282, 0.05241	0, -0.113321, -0.092695, -0.197459, -0.269883, -0.323433, -0.142533, -0.224527	0, 0.000239, 0.710884, 0.236018, 0.016031, 0.25403, 0.377944, 0.175099						
BCS1_HUMAN	Excluded	false							0, -0.511716, -0.45496, -0.391657, -0.347666, -0.156028, -0.145472, -1.041258									
BIG3_HUMAN	Excluded	false							0, 0.305862, -0.330342, 0.185603, 0.024133, -0.533325, -0.000928, 0.180893									
BMS1_HUMAN	InsigPrize	false							0, -1.124781, -0.767894, -1.254769, -0.653814, -0.756374, -0.632618, -0.405132									
BORG1_HUMAN	Excluded	false							0, -0.060039, 0.455374, 0.193557, -0.095514, -0.027661, 0.233026, -0.268444									
BORG4_HUMAN	Excluded	false							0, -0.278013, 0.687072, 0.254409, 0.367155, 0.465717, 0.406002, -0.096842									
BRAP_HUMAN	Excluded	false							0, -0.010093, -0.030957, 0.122287, -0.104175, 0.010317, 0.061896, 0.169006									
BRD2_HUMAN	Excluded	false							0, -0.224608, -0.916907, -0.347115, -0.415488, -0.496736, -0.566229, -0.685465									
BRD3_HUMAN	Excluded	false							0, -0.018615, 0.170917, -0.302868, 0.118342, -0.164292, 0.394588, 0.739899									
BUD13_HUMAN	Excluded	false							0, -0.085088, 0.072685, -0.202151, -0.08377, -0.083829, 0.044801, 0.090422	0, 0.202063, 0.341795, 0.138365, -0.104269, 0.1249, 0.142205, -0.053349								
BZW2_HUMAN	Excluded	false							0, -0.031095, -0.117106, -0.123409, -0.136505, -0.172296, -0.08214, 0.117864									
C170B_HUMAN	Excluded	false							0, 0.072663, -0.091341, -0.122739, 0.011413, 0.012931, 0.020286, -0.03193									
C2CD5_HUMAN	Excluded	false							0, -0.494255, -1.052333, -0.621487, -0.274645, -0.391511, -0.358884, -0.609071									
C2TA_HUMAN	Steiner	false																
CA052_HUMAN	Excluded	false							0, -0.324765, 0.119923, -0.825352, -0.431064, 0.053655, 0.171698, 0.079489									
CA172_HUMAN	Excluded	false							0, -0.092724, -0.301933, -0.073653, -0.405931, -0.377247, -0.783322, -0.4026									
CAAP1_HUMAN	Excluded	false							0, 0.121327, 0.069206, -0.027988, -0.207071, -0.102855, -0.073443, 0.158635									
CAF1B_HUMAN	Excluded	false							0, -0.266336, 0.068456, 0.022468, -0.034309, 0.212531, 0.264937, -0.980726									
CALM_HUMAN	Excluded	false							0, 0.132618, 0.794088, 0.575631, 0.449577, 0.546082, 0.398748, -0.137045									
CALX_HUMAN	Excluded	false							0, -0.12885, 0.102558, -0.216548, -0.257104, -0.055047, -0.013288, 0.174764	0, 0.225917, 0.171591, 0.248814, -0.218696, -0.171218, 0.185436, 0.355599								
CAV1_HUMAN	Excluded	true							0, 0.164367, 0.000891, -0.254231, 0.071941, 0.243331, -0.16877, -0.272301									
CBLB_HUMAN	SigPrize	true	0, 2.165079, 1.871822, 1.873273, 1.363586, 0.888055, 0.50604, 0.207705						0, 0.645542, 0.421362, 0.692715, 0.236924, 0.099393, -0.061915, -0.26765									
